id,category_id,name,composition,rating,unit,cooking,priceUnit,price,proteins,fats,carbohydrates,nutritionKcal,nutritionKj,storageConditions,shelfLife,vegan,review_count
3053,88,"Бедро куриное «Барбекю», 1 кг","бедро цыпленка-бройлера, вода питьевая, масло подсолнечное, соль поваренная пищевая, декстроза, регулятор кислотности Е331, загуститель:каррагинан, виноградный сахар, сахар, пряности, ароматизатор коптильный натуральный, сухие дрожжи, перец черный, антиокислитель: Е223, Е316, лимонная кислота, аскорбат натрия, усилитель вкуса и аромата: глутамат натрия, стабилизатор Е450, Е451.",0,шт,False,1 шт,381,20.3,10.5,1.2,180.7,756.1,при t от -2 до 6 °С - не более 24 часов,7,0,0
2314,88,"Филе бедра «Особый», 1.3 кг","куриное филе бедра, майонез (вода питьевая, масло растительное, яичный желток, гуаровая камедь, ксантановая камедь, сахар, соль, ароматизатор горчица, консервант: сорбат калия, уксус, пищевой краситель бета-каротин), вода питьевая, соль поваренная пищевая,  регулятор кислотности Е262, Е331, стабилизаторы Е450, Е451.",0,кг,False,1 кг,558,16,16,2,216.0,904.3,при t от -2 до +6 °С- не более 24 часов,7,0,0
36693,88,"Крылья в маринаде Таежный, в/у, охл, вес. (средний вес - 1 кг)","крылья куриные, маринад (сосновый сироп, соевый соус (соя, соль поваренная пищевая, вода питьевая, фруктоза), чеснок, корень имбиря, перец черный молотый, паприка копчёная), соль поваренная пищевая, аскорбиновая кислота, экстракт розмарина",0,шт,False,1 шт,506,17.5,11,3.7,183.8,769.0,"при t от минус 2 до 6 °С не более 5 суток, в пределах общего срока годности",5,0,0
1038,88,"Крылья куриные «Чилли-Вилли», 1.3 кг","крылья цыплят-бройлеров, маринад: вода питьевая, масло растительное,соль поваренная пищевая, чеснок, перец красный, перец черный, паприка сладкая, кориандр.",0,кг,False,1 кг,409,12,16,1,196.0,820.0,при температуре от -2 до +6 С- не более 24 часов,7,0,0
2309,88,"Крылья куриные сладкие «Чикен-гриль», 1.3 кг","крылышки куриные, вода питьевая, соевый соус (соя, соль поваренная, вода питьевая, фруктоза), мед натуральный, масло растительное, соль пищевая, смесь специй: чеснок сушеный; пищевые добавки: стабилизатор Е450, регулятор кислотности: Е262, Е331.",0,кг,False,1 кг,422,8.5,8,5.7,128.4,537.6,при t от +2 до +6 °С- не более 24 часов,7,0,0
933,88,"Филе куриное «Беларичи», 1.3 кг","филе грудок куриное, маринад (вода питьевая, масло растительное, соль поваренная пищевая, сушеные овощи - лук, специи: перец черный, перец душистый, кориандр, петрушка, горчичное семя.",0,кг,False,1 кг,499,15,3,1,91.0,380.0,при t от -2 до +6 °С- не более 24 часов,7,0,0
2532,88,"Шашлык из филе бедра, в/у, охл, вес (средний вес - 1,300 гр)","куриное филе бедра, маринад (масло растительное, вода питьевая, экстракты специй: томаты, чеснок, лук, базилик, петрушка, укроп, перец черный, кориандр, паприка), соль поваренная пищевая, регулятор кислотности: 262, Е331, стабилизаторы: Е450, Е451.",0,кг,False,1 кг,557,15.5,15.4,0.3,202.3,846.5,при t от -2 до +6 °С- не более 24 часов,5,0,0
2311,88,"Шашлык (в маринаде Кавказский), кат Б, в/у, охл, вес (средний вес - 1,300 кг)","Свинина (шея), маринад (вода питьевая, масло растительное, соль поваренная пищевая, сушеные овощи: чеснок,паприка красная, специи: перец черный, перец красный, орегано, кориандр",0,кг,False,1 кг,696,14,20,0,240.0,980.0,"при t от -1,5 до +6 °С- не более 24 часов",7,0,0
2313,88,"Шашлык из свинины «Фирменный», 1.3 кг","свинина, вода питьевая, масло растительное, соль пищевая, смесь специй: перец черный молотый, чеснок, петрушка, зелень, укроп, лук сушеный.",5,кг,True,1 кг,696,12,30,1,322.0,1350.0,при t от +2 до +6°С,7,0,1
2307,88,"Шашлык из свинины «Темное пиво», 1.3 кг","свинина (шея), маринад (масло подсолнечное, вода питьевая, темное пиво (вода, ячмень, хмель, экстракт хмеля), горчица, сахар, соль поваренная пищевая, смесь специй: лук сушеный, перец черный, паприка).",0,кг,False,1 кг,761,14,20,0,240.0,980.0,при t от +2 до +6°С,7,0,0
